"","Date","ID.1","ID.2","Site","TimeStamp"
"341",2022-02-04,"Quiscalus","unbanded adult male","CA","9:29:00"
"342",2022-02-25,"Quiscalus","unbanded adult male","CA","10:59:21"
"343",2022-03-21,"Quiscalus","unbanded adult male","CA","13:59:40"
"344",2021-12-03,"Talingo","unbanded adult male","CA","13:58:57"
"345",2022-01-18,"Talingo","unbanded adult male","CA","8:13:21"
"346",2022-02-09,"Talingo","unbanded adult male","CA","7:27:09"
"347",2021-12-22,"Tembleque","unbanded adult male","CA","11:28:02"
"348",2022-01-11,"Tembleque","unbanded adult male","CA","10:57:18"
"349",2022-02-01,"Tembleque","unbanded adult male","CA","10:30:29"
"350",2022-03-11,"Tzanatl Preciosa","unbanded adult male","CA","8:51:00"
"351",2021-12-14,"Urraca","unbanded adult male","CA","13:31:50"
"352",2022-01-04,"Urraca","unbanded adult male","CA","8:06:01"
"353",2022-01-25,"Urraca","unbanded adult male","CA","11:48:22"
"354",2022-02-17,"Urraca","unbanded adult male","CA","9:31:17"
"355",2021-12-31,"Wachil","unbanded adult male","CA","14:12:24"
"356",2022-01-24,"Wachil","unbanded adult male","CA","11:57:57"
"357",2022-02-14,"Wachil","unbanded adult male","CA","11:15:00"
"358",2022-01-07,"Xunub","unbanded adult male","CA","10:33:06"
"359",2022-02-07,"Xunub","unbanded adult male","CA","9:34:32"
"360",2022-03-09,"Xunub","unbanded adult male","CA","8:58:00"
"361",2021-09-21,"Zapote Negro","unbanded adult male","CA","8:18:48"
"362",2021-11-02,"Zapote Negro","unbanded adult male","CA","10:29:44"
"363",2021-11-23,"Zapote Negro","unbanded adult male","CA","10:33:00"
"364",2021-10-26,"Polvorones","unbanded juvenile","CA","14:47:27"
"365",2022-01-14,"Bacmut Bacni","unbanded juvenile female","CA","13:21:19"
"366",2021-11-02,"Camote","unbanded juvenile female","CA","11:03:24"
"367",2021-11-17,"Cuervo","unbanded juvenile female","CA","15:06:18"
"368",2022-02-21,"Cutuy","unbanded juvenile female","CA","12:35:59"
"369",2021-09-22,"Dulce de Leche","unbanded juvenile female","CA","10:30:23"
"370",2021-11-30,"Dulce de Leche","unbanded juvenile female","CA","12:49:20"
"371",2022-01-13,"Galandra","unbanded juvenile female","CA","13:46:09"
"372",2022-02-08,"Kel","unbanded juvenile female","CA","12:19:00"
"373",2022-03-01,"Kel","unbanded juvenile female","CA","9:13:00"
"374",2022-03-15,"Pina","unbanded juvenile female","CA","9:45:42"
"375",2022-01-04,"Urraca","unbanded juvenile female","CA","8:06:03"
"376",2022-03-09,"Bacmut Bacni","unbanded juvenile male","CA","8:30:55"
"377",2021-09-22,"Dulce de Leche","unbanded juvenile male","CA","10:35:15"
"378",2021-11-30,"Dulce de Leche","unbanded juvenile male","CA","11:45:26"
"379",2021-10-21,"Kau","unbanded juvenile male","CA","14:00:10"
"380",2022-03-15,"Pina","unbanded juvenile male","CA","9:44:24"
"381",2021-12-03,"Polvorones","unbanded juvenile male","CA","14:44:01"
"382",2022-01-25,"Polvorones","unbanded juvenile male","CA","9:19:37"
